BRANCH_TYPE	BRANCH_CODE	CLIENT_DB	CLIENT_HOST
MAXCAK	3514	pos	M{BRANCH_CODE}_01
MAXCAK	3515	pos	M{BRANCH_CODE}_01
MAXCAK	3516	pos	M{BRANCH_CODE}_01
MAXCAK	3518	pos	M{BRANCH_CODE}_01
MAXCAK	3519	pos	M{BRANCH_CODE}_01
MAXCAK	3520	pos	M{BRANCH_CODE}_01
MAXCAK	3521	pos	M{BRANCH_CODE}_01
MXGCAK	3611	pos	M{BRANCH_CODE}_01
MXGCAK	3612	pos	M{BRANCH_CODE}_01
MXGCAK	3613	pos	M{BRANCH_CODE}_01
MXGCAK	3614	pos	M{BRANCH_CODE}_01
MXGCAK	3616	pos	M{BRANCH_CODE}_01
MXGCAK	3617	pos	M{BRANCH_CODE}_01
MXGCAK	3619	pos	M{BRANCH_CODE}_01
MXGCAK	3621	pos	M{BRANCH_CODE}_01
MXGCAK	3622	pos	M{BRANCH_CODE}_01
MXGCAK	3623	pos	M{BRANCH_CODE}_01
MXGCAK	3625	pos	M{BRANCH_CODE}_01
MXGCAK	3627	pos	M{BRANCH_CODE}_01
MXGCAK	3628	pos	M{BRANCH_CODE}_01
MXGCAK	3629	pos	M{BRANCH_CODE}_01
MXGCAK	3630	pos	M{BRANCH_CODE}_01
MXGCAK	3631	pos	M{BRANCH_CODE}_01
MXGCAK	3632	pos	M{BRANCH_CODE}_01
MXGCAK	3633	pos	M{BRANCH_CODE}_01
MXGCAK	3634	pos	M{BRANCH_CODE}_01
MXGCAK	3635	pos	M{BRANCH_CODE}_01
MXGCAK	3701	pos	M{BRANCH_CODE}_01
MXGCAK	3702	pos	M{BRANCH_CODE}_01
MXGCAK	3704	pos	M{BRANCH_CODE}_01
MXGCAK	3705	pos	M{BRANCH_CODE}_01
MXGCAK	3715	pos	M{BRANCH_CODE}_01
MXGCAK	3750	pos	M{BRANCH_CODE}_01
MXGCAK	3751	pos	M{BRANCH_CODE}_01
MXGCAK	3752	pos	M{BRANCH_CODE}_01
MXGCAK	3753	pos	M{BRANCH_CODE}_01
MXGCAK	3756	pos	M{BRANCH_CODE}_01
MXGCAK	3757	pos	M{BRANCH_CODE}_01
MXGCAK	3759	pos	M{BRANCH_CODE}_01
MXGCAK	3760	pos	M{BRANCH_CODE}_01
MXGCAK	3761	pos	M{BRANCH_CODE}_01
MXGCAK	3763	pos	M{BRANCH_CODE}_01
MXGCAK	3767	pos	M{BRANCH_CODE}_01
MXGCAK	3770	pos	M{BRANCH_CODE}_01
MXGCAK	3772	pos	M{BRANCH_CODE}_01
MXGCAK	3773	pos	M{BRANCH_CODE}_01
MXGCAK	3774	pos	M{BRANCH_CODE}_01
MXGCAK	3778	pos	M{BRANCH_CODE}_01
MXGCAK	3783	pos	M{BRANCH_CODE}_01
MXGCAK	3788	pos	M{BRANCH_CODE}_01
MXGCAK	3796	pos	M{BRANCH_CODE}_01
MXGCAK	3823	pos	M{BRANCH_CODE}_01
MXGCAK	3825	pos	M{BRANCH_CODE}_01
MAXCAK	3989	pos	M{BRANCH_CODE}_01
MAXCAK	3998	pos	M{BRANCH_CODE}_01
MXGCAK	4052	pos	M{BRANCH_CODE}_01
MAXCAK	8606	pos	M{BRANCH_CODE}_01
MAXCAK	8741	pos	M{BRANCH_CODE}_01
MAXCAK	8742	pos	M{BRANCH_CODE}_01
MAXCAK	8751	pos	M{BRANCH_CODE}_01
