BRANCH_TYPE	BRANCH_CODE	CLIENT_DB	CLIENT_HOST
SBSSBS	4647	pos	M{BRANCH_CODE}
SBSSBS	4648	pos	M{BRANCH_CODE}
SBSSBS	4650	pos	M{BRANCH_CODE}
SBSSBS	4658	pos	M{BRANCH_CODE}
SBSSBS	4661	pos	M{BRANCH_CODE}
SBSSBS	4663	pos	M{BRANCH_CODE}
SBSSBS	4667	pos	M{BRANCH_CODE}
SBSSBS	4668	pos	M{BRANCH_CODE}
SBSSBS	4669	pos	M{BRANCH_CODE}
SBSSBS	4670	pos	M{BRANCH_CODE}
SBSSBS	4676	pos	M{BRANCH_CODE}
SBSSBS	4699	pos	M{BRANCH_CODE}
MAXOC7	4704	pos	M{BRANCH_CODE}
MAXTC1	4907	pos	M{BRANCH_CODE}
MAXTC1	4927	pos	M{BRANCH_CODE}
FMLCAK	3001	pos	M{BRANCH_CODE}_01
FMLCAK	3002	pos	M{BRANCH_CODE}_01
FMLCAK	3003	pos	M{BRANCH_CODE}_01
FMLCAK	3005	pos	M{BRANCH_CODE}_01
FMLCAK	3007	pos	M{BRANCH_CODE}_01
FMLCAK	3009	pos	M{BRANCH_CODE}_01
FMLCAK	3011	pos	M{BRANCH_CODE}_01
FMLCAK	3013	pos	M{BRANCH_CODE}_01
FMLCAK	3015	pos	M{BRANCH_CODE}_01
FMLCAK	3017	pos	M{BRANCH_CODE}_01
MAXCAK	3103	pos	M{BRANCH_CODE}_01
MAXCAK	3107	pos	M{BRANCH_CODE}_01
MAXCAK	3112	pos	M{BRANCH_CODE}_01
MAXCAK	3116	pos	M{BRANCH_CODE}_01
MAXCAK	3117	pos	M{BRANCH_CODE}_01
MAXCAK	3123	pos	M{BRANCH_CODE}_01
MAXCAK	3130	pos	M{BRANCH_CODE}_01
MAXCAK	3133	pos	M{BRANCH_CODE}_01
MAXCAK	3135	pos	M{BRANCH_CODE}_01
MAXCAK	3138	pos	M{BRANCH_CODE}_01
MAXCAK	3141	pos	M{BRANCH_CODE}_01
MAXCAK	3142	pos	M{BRANCH_CODE}_01
MAXCAK	3143	pos	M{BRANCH_CODE}_01
MAXCAK	3144	pos	M{BRANCH_CODE}_01
MAXCAK	3145	pos	M{BRANCH_CODE}_01
MAXCAK	3147	pos	M{BRANCH_CODE}_01
MAXCAK	3154	pos	M{BRANCH_CODE}_01
MAXCAK	3156	pos	M{BRANCH_CODE}_01
MAXCAK	3174	pos	M{BRANCH_CODE}_01
